"session_id","study_id","user_name","user_email","task_name","task_number","task_status","session_duration_ms","event_id","event_type","event_timestamp","event_timestamp_readable","event_url","event_data"
"ee55b45c-d520-4392-9628-b08741350357","58f0a453-bfc7-4447-898f-7a93fdefaa89","Ahmed Raza","ahmed.raza@gmail.com","Register / Sign In","1","skipped","30812","1000","TASK_START","1774864800000","2026-03-30T10:00:00.000Z","https://crumblelocal.com/","{""taskNumber"":1,""taskName"":""Register / Sign In""}"
"ee55b45c-d520-4392-9628-b08741350357","58f0a453-bfc7-4447-898f-7a93fdefaa89","Ahmed Raza","ahmed.raza@gmail.com","Register / Sign In","1","skipped","30812","1001","PAGE_NAVIGATE","1774864802355","2026-03-30T10:00:02.355Z","https://crumblelocal.com/","{""transitionType"":""link""}"
"ee55b45c-d520-4392-9628-b08741350357","58f0a453-bfc7-4447-898f-7a93fdefaa89","Ahmed Raza","ahmed.raza@gmail.com","Register / Sign In","1","skipped","30812","1002","PAGE_LOAD","1774864804668","2026-03-30T10:00:04.668Z","https://crumblelocal.com/","{}"
"ee55b45c-d520-4392-9628-b08741350357","58f0a453-bfc7-4447-898f-7a93fdefaa89","Ahmed Raza","ahmed.raza@gmail.com","Register / Sign In","1","skipped","30812","1003","CLICK","1774864805588","2026-03-30T10:00:05.588Z","https://crumblelocal.com/","{""x"":540,""y"":424,""elementTag"":""INPUT"",""elementText"":"""",""elementId"":""input-phone"",""elementClasses"":""form-control"",""isInteractive"":true}"
"ee55b45c-d520-4392-9628-b08741350357","58f0a453-bfc7-4447-898f-7a93fdefaa89","Ahmed Raza","ahmed.raza@gmail.com","Register / Sign In","1","skipped","30812","1004","IDLE_PAUSE","1774864807791","2026-03-30T10:00:07.791Z","https://crumblelocal.com/register","{""durationMs"":4519,""startedAt"":1774864807791}"
"ee55b45c-d520-4392-9628-b08741350357","58f0a453-bfc7-4447-898f-7a93fdefaa89","Ahmed Raza","ahmed.raza@gmail.com","Register / Sign In","1","skipped","30812","1005","CLICK","1774864809764","2026-03-30T10:00:09.764Z","https://crumblelocal.com/signin","{""x"":835,""y"":432,""elementTag"":""BUTTON"",""elementText"":""Register"",""elementId"":""btn-register"",""elementClasses"":""btn btn-primary"",""isInteractive"":true}"
"ee55b45c-d520-4392-9628-b08741350357","58f0a453-bfc7-4447-898f-7a93fdefaa89","Ahmed Raza","ahmed.raza@gmail.com","Register / Sign In","1","skipped","30812","1006","FORM_FOCUS","1774864811079","2026-03-30T10:00:11.079Z","https://crumblelocal.com/signin","{""fieldType"":""text"",""fieldName"":""firstName""}"
"ee55b45c-d520-4392-9628-b08741350357","58f0a453-bfc7-4447-898f-7a93fdefaa89","Ahmed Raza","ahmed.raza@gmail.com","Register / Sign In","1","skipped","30812","1007","CLICK","1774864812889","2026-03-30T10:00:12.889Z","https://crumblelocal.com/signin","{""x"":355,""y"":467,""elementTag"":""INPUT"",""elementText"":"""",""elementId"":""input-firstName"",""elementClasses"":""form-control"",""isInteractive"":true}"
"ee55b45c-d520-4392-9628-b08741350357","58f0a453-bfc7-4447-898f-7a93fdefaa89","Ahmed Raza","ahmed.raza@gmail.com","Register / Sign In","1","skipped","30812","1008","CLICK","1774864814261","2026-03-30T10:00:14.261Z","https://crumblelocal.com/register","{""x"":700,""y"":450,""elementTag"":""INPUT"",""elementText"":"""",""elementId"":""input-firstName"",""elementClasses"":""form-control"",""isInteractive"":true}"
"ee55b45c-d520-4392-9628-b08741350357","58f0a453-bfc7-4447-898f-7a93fdefaa89","Ahmed Raza","ahmed.raza@gmail.com","Register / Sign In","1","skipped","30812","1009","FORM_FOCUS","1774864817125","2026-03-30T10:00:17.125Z","https://crumblelocal.com/register","{""fieldType"":""text"",""fieldName"":""firstName""}"
